source_name,time(MJD),src_raj,f_range(MHz),RFI(MHz)
J0918-1205,59046.60915509259,8h26m01.91s,"(856.0, 1712.0)","[[935.3967703760784, 946.8554570269366], [1170.9850110100763, 1181.9310211914376], [1206.4302278542978, 1207.364228550226], [1227.1850238280488, 1228.0291287325767], [1265.855717695294, 1270.462596814589], [1523.5192327629914, 1561.3843899682174], [1574.1543827900564, 1576.6912473584132], [1622.0598457531503, 1622.2135353854353]]"
J0918-1205_offset,59046.59543981482,8h26m01.91s,"(856.0, 1712.0)","[[935.2805191266513, 946.8804014117337], [1170.6040660974293, 1170.6040660974293], [1182.348918203558, 1182.348918203558], [1203.1812844942713, 1209.188007315673], [1226.8986237228874, 1228.3052419615603], [1246.6009545666898, 1246.929744472993], [1263.9260679197246, 1279.7496701599678], [1526.041262045137, 1561.9426490713452], [1574.082419056573, 1576.7618425902374], [1589.9822548100174, 1590.238344091715], [1602.7773615212643, 1605.730673519445]]"
Unknown,58947.74445601852,8h36m01.6s,"(856.0, 1712.0)","[[910.9173241557529, 919.5476037694153], [934.6673172762023, 959.2399344974413], [1175.193234422906, 1177.8213274249329], [1226.7774872826833, 1231.2304803916288], [1245.908451285804, 1245.908451285804], [1277.7511369805115, 1277.7511369805115], [1532.2364768840953, 1532.3100497182181], [1574.5134684756702, 1576.3175924211978]]"
Unknown,58947.73936342593,4h08m27.24s,"(856.0, 1712.0)","[[934.7346646468685, 947.0349492212146], [1173.6706934726938, 1179.2625230895405], [1206.064889986328, 1208.1920334905099], [1227.194232536893, 1231.0464515834603], [1247.4580310156937, 1247.4580310156937], [1275.7962530229977, 1275.7962530229977], [1560.37742724057, 1561.6437921002548], [1574.353129139444, 1576.4603970418584], [1604.2628667320096, 1606.533714157006]]"
Unknown,58947.739016203705,4h08m27.24s,"(856.0, 1712.0)","[[911.7974232292397, 919.5987530975476], [934.811473089279, 946.8235676155803], [1171.1412103340351, 1171.1412103340351], [1181.6951616544875, 1181.6951616544875], [1202.5031481395004, 1210.5727708556362], [1226.9485242037845, 1231.2222085373753], [1244.0949377475747, 1244.0949377475747], [1280.001251658835, 1280.001251658835], [1532.1446537226739, 1532.4009645784995], [1560.0500050802036, 1561.8904229399427], [1574.1693085872996, 1576.744815458559], [1601.7647909378863, 1608.696180274711]]"
Unknown,58947.726481481484,4h08m27.24s,"(856.0, 1712.0)","[[891.3258874161745, 891.3258874161745], [919.8884027137133, 919.8884027137133], [934.6749771026438, 946.8064334281141], [1171.3389090099552, 1180.9861128943144], [1204.15019040334, 1210.028938765695], [1264.1348054345196, 1279.140166625522], [1525.4368013479489, 1532.7239732322125], [1544.780086209391, 1544.8746778303998], [1559.7017065423743, 1562.0801503310129], [1574.1597558746935, 1576.818983395161], [1604.6176067047495, 1605.8346052030754], [1622.2285140092888, 1622.987830543581]]"
Unknown,58947.7256712963,4h08m27.24s,"(856.0, 1712.0)","[[875.4884742181998, 875.4884742181998], [920.0442494689938, 920.0442494689938], [934.7780762663295, 946.9580663719328], [1170.4061534571247, 1170.4061534571247], [1182.0382674261332, 1182.0382674261332], [1202.4007390610645, 1210.8897462021675], [1227.0301883193795, 1228.2162816792209], [1244.6181915876123, 1249.4541164637408], [1262.2337192164841, 1262.2337192164841], [1274.0095650152437, 1274.0095650152437], [1525.2471929610529, 1532.8264260915705], [1544.298261371398, 1545.7742683009049], [1559.4886937872252, 1562.3136209830773], [1573.6159592545564, 1577.181026358179], [1588.9834400402467, 1601.211295984359]]"
Unknown,58947.72149305556,8h36m01.6s,"(856.0, 1712.0)","[[906.0912114088429, 906.0912114088429], [919.6774803855982, 919.6774803855982], [934.821956616603, 946.6601851053257], [1175.6058086840615, 1177.3748592279014], [1205.955598770786, 1208.381855790743], [1265.590670763063, 1271.5771190310893], [1531.9816115315632, 1532.5627953220737], [1560.4794900107086, 1561.5941527378823], [1574.4454269226728, 1576.431947717003]]"
Unknown,58947.7166087963,8h36m01.6s,"(856.0, 1712.0)","[[874.3989506741127, 874.3989506741127], [920.1164635168284, 920.1164635168284], [934.681155465664, 947.1113708228031], [957.525397087333, 958.9202367943944], [1173.7139948350118, 1179.0390109152402], [1206.5815222788085, 1207.65587502858], [1226.527923709938, 1228.6140023907462], [1247.625360808924, 1248.496627480397], [1267.1684908523912, 1269.895708333013], [1419.9839142677697, 1420.487356739146], [1574.3346280841038, 1576.4384052610415], [1604.4447631367946, 1605.5239543362416]]"
Unknown,58947.713854166665,8h36m01.6s,"(856.0, 1712.0)","[[879.7817518301666, 879.7817518301666], [920.0568722447265, 920.0568722447265], [934.631500599145, 946.9930613921598], [1009.6230358228493, 1016.1539942172659], [1172.7056167718754, 1179.9460786927982], [1206.8798152005363, 1207.2594467314257], [1247.8360010925749, 1248.288148395135], [1267.137365822716, 1270.8732120279087], [1420.16615347168, 1420.335073116561], [1560.3490197849342, 1561.8405756797604], [1574.2861072886142, 1576.5202155814911]]"
Unknown,58947.70422453704,8h36m01.6s,"(856.0, 1712.0)","[[935.3996546053163, 946.8909940727299], [1171.7640579345405, 1180.482324155938], [1206.177255424203, 1208.017385575376], [1227.0918498936853, 1228.1173260093358], [1264.5662377079623, 1271.8608835849682], [1419.6781600227707, 1420.419631198547], [1523.2278645192782, 1562.0361927817364], [1574.0783166986496, 1576.7762537791195], [1589.6553313419104, 1590.1709121286272]]"
