source_name,time(MJD),src_raj,f_range(MHz),RFI(MHz)
J0835-4510,59019.730358796296,8h26m01.91s,"(1284.0, 1498.0)","[[1287.7972598593074, 1291.7808309889444], [1419.3940532128724, 1420.9395878094074]]"
J0825-5010_offset,59019.711875,8h26m01.91s,"(1284.0, 1471.25)","[[1286.3259087749948, 1291.9852064396164], [1406.3826187749949, 1407.2898728045957]]"
J0825-5010_offset,59019.71105324074,8h26m01.91s,"(1284.0, 1498.0)","[[1286.4415306146389, 1292.23531245592], [1419.9792678281963, 1420.5073492785623]]"
J0835-4510,59019.69835648148,8h26m01.91s,"(1284.0, 1471.25)","[[1286.9551673257433, 1291.5074506611465], [1406.0694162645475, 1407.5476057992694]]"
J0825-5010_offset,58997.76050925926,8h26m01.91s,"(952.0, 1088.0)","[[955.5157099528077, 959.7102613456531]]"
J0825-5010_offset,58997.75388888889,8h26m01.91s,"(952.0, 1088.0)","[[955.4795844088284, 959.6993728034788]]"
J0825-5010_offset,58997.75303240741,8h26m01.91s,"(952.0, 1088.0)","[[955.4938206612966, 959.6841851260027]]"
J0825-5010_offset,58997.748090277775,8h26m01.91s,"(952.0, 1088.0)","[[955.5421237480482, 959.7354124816607]]"
J0825-5010_offset,58997.74255787037,8h26m01.91s,"(952.0, 1088.0)","[[955.5216392652413, 959.723210269165]]"
J0825-5010_offset,58997.741689814815,8h26m01.91s,"(952.0, 1088.0)","[[955.48936431592, 959.6938483485349]]"
J0825-5010_offset,58997.73763888889,8h26m01.91s,"(952.0, 1088.0)","[[955.5521377192592, 959.767435500591]]"
J0825-5010_offset,58997.73678240741,8h26m01.91s,"(952.0, 1088.0)","[[955.501646637326, 959.7504757895522]]"
J0825-5010_offset,58997.73447916667,8h26m01.91s,"(952.0, 1088.0)","[[955.5026593714914, 959.7049487720833]]"
J0918-1205,59046.664456018516,8h26m01.91s,"(856.0, 1043.25)","[[921.9015985790609, 933.5019984131076]]"
J0918-1205_offset,59046.66162037037,8h26m01.91s,"(856.0, 1070.0)","[[935.3340356536273, 959.5437751310822]]"
J0918-1205,59046.660775462966,8h26m01.91s,"(856.0, 1070.0)","[[935.2786463789494, 946.8711420793499]]"
J0835-4510,59046.656006944446,8h26m01.91s,"(856.0, 1043.25)","[[922.0628704228479, 933.4702602209987]]"
J0835-4510,59025.55694444444,0h00m00s,"(856.0, 1016.5)","[[922.1576933159268, 942.6688182127672]]"
Unknown,59025.47497685185,0h00m00s,"(856.0, 1043.25)","[[922.083270072242, 946.2095733902954]]"
B0450-18,59018.566782407404,8h26m01.91s,"(856.0, 1016.5)","[[922.0213260744415, 933.491651231768]]"
J0835-4510,59018.54369212963,8h26m01.91s,"(856.0, 1043.25)","[[935.2755093197442, 959.4657063366708]]"
B0450-18,59018.517696759256,8h26m01.91s,"(856.0, 1016.5)","[[921.9166377490255, 946.0463353117561]]"
J0835-4510,59018.473391203705,8h26m01.91s,"(856.0, 1016.5)","[[922.1016773460548, 933.4865041178145]]"
Unknown,59005.169652777775,8h26m01.91s,"(856.0, 1070.0)",[]
J0825-5010_offset,58997.72834490741,8h26m01.91s,"(816.0, 952.0)","[[935.2425028772966, 944.0226572560047]]"
J0825-5010_offset,58997.727476851855,8h26m01.91s,"(816.0, 952.0)","[[935.669035639878, 946.7501713536631]]"
J0825-5010_offset,58997.71994212963,8h26m01.91s,"(816.0, 952.0)","[[935.3497919291852, 946.8226254773414]]"
J0825-5010_offset,58997.70912037037,8h26m01.91s,"(680.0, 816.0)","[[735.0699115708215, 759.4862665059773]]"
J0825-5010_offset,58997.70827546297,8h26m01.91s,"(680.0, 816.0)","[[734.7962042395594, 759.4300935769337]]"
J0825-5010_offset,58997.70203703704,8h26m01.91s,"(544.0, 680.0)",[]
J0825-5010_offset,58997.70119212963,8h26m01.91s,"(544.0, 680.0)",[]
Unknown,58997.69321759259,8h26m01.91s,"(544.0, 680.0)",[]
